Feature ID,Area / Module,Feature Name,Feature Type,Code Location,Related Route / Screen / Endpoint,User Story,Expected Behavior Based on Code,Test Steps,Test Data Needed,Current Status,Initial Test Result,Error / Bug Found,Severity,UX / Workflow Impact,Root Cause,Fix Summary,Files Changed,Retest Steps,Retest Result,Final Status,Notes
F-063,System Check,Running readiness semantics,Endpoint,backend/app/main.py; scripts/doctor.py,GET /readiness; python scripts/doctor.py,As a reviewer I want system check to reflect running app health so occupied app ports are not false warnings,/readiness checks backend DB and writable folders while doctor remains pre-start port-free check,Run readiness test and doctor,Running backend TestClient,Retested - Pass,78 pytest tests pass,None,Medium,Prevents confusing false warnings during use,Readiness mixed pre-start and running concepts,Split semantics and UI wording,backend/app/main.py; scripts/doctor.py; frontend/src/App.tsx; tests/test_pipeline.py,Run pytest,78 passed,Retested - Pass,N/A
F-064,Regression,Real PDF workflow mechanics script,Test,scripts/regression_real_pdfs.py,python scripts/regression_real_pdfs.py,As a QA lead I want real local PDFs to exercise workflow mechanics without hard-coded engineering conclusions,Script processes PDFs in examples and checks extraction source endpoint prompt coverage preview import placement export and PDF reopen,Run script with local example PDFs,examples/*.pdf,Retested - Pass,Processed 123-page example PDF and export validation passed,None,Medium,Improves confidence on messy real packages,Synthetic-only scripts missed real-PDF mechanics,Added mechanics-only regression harness,scripts/regression_real_pdfs.py; README.md,Run python scripts/regression_real_pdfs.py,Pass on 20250508_Alliant Sheboygan Skid Upgrade_IFC.pdf,Retested - Pass,Mechanics-only regression; no engineering conclusion assertions
F-065,Manual AI workflow,Clean-page metadata correctness,Validation,backend/app/services/review_coverage.py,AI import preview/import,As a reviewer I want clean pages recorded only when no update candidates were returned so skipped updates are not mislabeled clean,Clean pages exclude pages with any returned update candidate even if that update is skipped,Run coverage gate tests,Reviewed pages with skipped missing-target update,Retested - Pass,Focused pytest passed,None,High,Prevents misleading clean-page audit metadata,Clean-page helper excluded only imported updates,Exclude all returned candidate update pages from clean-page list,backend/app/services/review_coverage.py; tests/test_pipeline.py,Run pytest coverage tests,Pass,Retested - Pass,N/A
F-066,Direct AI Review,Capped direct review scoped coverage,Validation,backend/app/services/ai_review.py,POST /projects/{id}/ai-review,As a reviewer I want capped Direct AI review to remain partial so it cannot complete package coverage from unsent pages,Capped Direct AI imports are scoped to sent pages and dashboard/final coverage remains incomplete for unsent pages,Run direct AI cap test,Fake AI with AUTOQC_AI_MAX_SHEETS=1,Retested - Pass,Focused pytest passed,None,High,Prevents text-only capped review from masquerading as whole-package review,Direct review previously used package expected pages even when sheets were capped,Treat capped direct review as batch over sent pages,backend/app/services/ai_review.py; tests/test_pipeline.py,Run pytest direct AI tests,Pass,Retested - Pass,N/A
F-067,Traceability,Raw AI response preservation with public redaction,Security,backend/app/services/ai_review.py; backend/app/main.py,/ai-review/preview; /ai-review/import-batches,As a reviewer I want exact raw AI preserved for audit without exposing it unnecessarily in normal UI/API lists,Raw response is stored in SQLite while public batch summaries show stored flag length and sha256 only,Run raw response API test,Markdown-fenced AI JSON,Retested - Pass,Focused pytest passed,None,High,Improves auditability without leaking pasted content through routine API responses,Preview/list responses previously echoed raw_response_text,Added public batch sanitizer and UI trace fields,backend/app/services/ai_review.py; backend/app/main.py; frontend/src/App.tsx; frontend/src/types.ts; tests/test_pipeline.py,Run pytest raw response test,Pass,Retested - Pass,N/A
F-068,Backup/Restore,Package path hygiene and failed restore cleanup,Security,backend/app/services/project_packages.py,Project package export/import,As a pilot user I want packages to avoid local path leakage and failed restores to clean up partial state,Package JSON strips local paths restore rebuilds paths from manifest and failed restore removes new project files/rows where practical,Run package roundtrip and restore failure tests,Package zip fixtures,Retested - Pass,Focused pytest passed,None,High,Prevents path leakage and stale partial restore directories,Payload previously preserved local paths and restore copied files before insert without cleanup,Strip path fields and clean failed restore state,backend/app/services/project_packages.py; tests/test_pipeline.py,Run package tests,Pass,Retested - Pass,N/A
F-069,Accessibility,Primary tablist arrow key navigation,A11y,frontend/src/App.tsx,Primary workflow navigation,As a keyboard user I want arrow keys Home and End to move across workflow tabs,Primary workflow tablist handles Arrow Up Down Left Right Home and End and keeps Help outside the tablist,Run Playwright keyboard test,Home page,Retested - Pass,npm test passed,None,Medium,Improves keyboard accessibility and ARIA validity,Primary tabs had roles but no arrow-key behavior and Help was inside tablist,Added key handler data attributes and moved Help outside tablist,frontend/src/App.tsx; frontend/src/styles.css; frontend/e2e/autoqc-workflow.spec.ts,Run npm test,Pass,Retested - Pass,N/A
F-070,Validation,Generated workflow validation reports,Test,scripts/validation_reports.py; scripts/smoke_ai_workflow.py; scripts/stress_large_package.py; scripts/regression_real_pdfs.py,Validation scripts,As a QA lead I want smoke stress and real-PDF runs to leave durable reports so pilot evidence is reviewable,Scripts write JSON and Markdown reports under data/validation_reports with checks metrics limitations and artifact references,Run validation scripts,Smoke stress and examples PDFs,Retested - Pass,Reports created for smoke stress and real-PDF scripts,None,Medium,Improves release evidence and repeatability,Scripts previously printed only console output,Added reusable report writer and script integration,scripts/validation_reports.py; scripts/smoke_ai_workflow.py; scripts/stress_large_package.py; scripts/regression_real_pdfs.py,Run scripts and inspect data/validation_reports,Pass,Retested - Pass,Generated reports are local artifacts not committed
F-071,Manual AI workflow,Failed import recovery after partial mutation,Reliability,backend/app/services/ai_review.py,AI preview import and Direct AI import,As a reviewer I want failed imports to leave a clear recoverable state instead of partial findings,If a late import write fails AutoQC restores prior AI findings marks the batch failed and writes an audit event where possible,Run import failure recovery test,Simulated batch update failure,Retested - Pass,80 pytest tests pass,None,High,Prevents silent partial-success import state,Import replaced findings before final batch metadata write,Added recovery helper and regression test,backend/app/services/ai_review.py; tests/test_pipeline.py,Run pytest failure recovery test,Pass,Retested - Pass,N/A
F-072,Frontend UX,Guided workflow and recovery center,Screen,frontend/src/App.tsx; frontend/src/styles.css,Review panel and Export panel,As a first-time reviewer I want clear next steps recovery guidance and progress feedback so that I can complete the AI-imported QC workflow without guessing,Review panel shows workflow guide recovery cards and operation progress; Export panel explains why final export is blocked,Run Playwright workflow and static UI smoke tests,Sample project and valid AI fixture,Retested - Pass,npm test and UI smoke passed,None,Medium,Reduces misuse and makes blocked states actionable,Workflow status and recovery guidance were scattered across panels,Added workflow guide recovery center operation progress and final export why-blocked details,frontend/src/App.tsx; frontend/src/styles.css; frontend/e2e/autoqc-workflow.spec.ts; tests/test_frontend_ui_smoke.py,Run npm run typecheck and npm test and pytest tests/test_frontend_ui_smoke.py,Pass,Retested - Pass,N/A
F-073,Backend API,Retired tracker route removal,Product boundary,backend/app/main.py; backend/app/services/prompt_templates.py; backend/app/services/exports.py,OpenAPI/API and generated prompt/export text,As a reviewer I do not want retired tracker workflows exposed so the simplified core stays consistent,Public retired tracker routes are absent and user-facing prompt/export wording avoids the retired workflow,Run route and stale-label tests,Sample project,Retested - Pass,pytest and stale scan passed,None,High,Prevents coworkers from using an out-of-scope workflow,Backend routes and wording survived after frontend removal,Removed public routes and stale prompt/export wording; added 404 regression,backend/app/main.py; backend/app/models.py; backend/app/services/prompt_templates.py; backend/app/services/exports.py; tests/test_pipeline.py,Run pytest,110 passed,Retested - Pass,N/A
F-074,Backend Upload,Route-level upload size limits,Security,backend/app/main.py,POST /projects; /project-packages/import/preview; /project-packages/import,As a local user I want oversized uploads rejected before processing so the app stays responsive,PDF and package upload streams are capped before service processing or restore validation,Run oversized upload route tests,Oversized PDF and zip payloads,Retested - Pass,pytest passed,None,High,Prevents memory pressure and slow failures from oversized uploads,Routes read complete upload before existing service/package validation,Added streaming limited upload helpers and 413 tests,backend/app/main.py; tests/test_pipeline.py,Run pytest,110 passed,Retested - Pass,N/A
F-075,Backup/Restore,Checksum mismatch blocking,Validation,backend/app/services/project_packages.py,/project-packages/import/preview,As a reviewer I want corrupted packages rejected so restored projects are trustworthy,Checksum mismatches and checksum-referenced missing files make package preview invalid,Run package validation test,Zip with bad checksum,Retested - Pass,pytest passed,None,High,Blocks corrupted/tampered package restores,Checksum mismatches were warnings,Promoted checksum mismatches to validation errors,backend/app/services/project_packages.py; tests/test_pipeline.py,Run pytest,110 passed,Retested - Pass,N/A
F-076,Security,Public path redaction,API/UI,backend/app/main.py; backend/app/database.py; backend/app/services/project_packages.py; frontend/src/App.tsx,Project/export/package/audit API responses and Audit Log,As a pilot user I want portable/shareable outputs without exposing local machine paths,Public responses expose URLs/filenames and sanitize legacy audit/path details while internal records retain managed paths,Run API path-redaction tests and frontend build,Export package and audit events,Retested - Pass,pytest and npm build passed,None,High,Prevents leaking local user/project paths in API responses archives and UI audit logs,API/event payloads returned internal paths,Added public response/event sanitizers and package archive audit sanitization,backend/app/main.py; backend/app/database.py; backend/app/services/project_packages.py; frontend/src/App.tsx; tests/test_pipeline.py; tests/test_frontend_ui_smoke.py,Run pytest; npm run build,Pass,Retested - Pass,N/A
